"RESPONSE_CAT","Response","MEASURE","Measure","REGIONTYPE","Geography Level","AEC_FED_2017","Federal Electoral Division","TIME","Year","Value","Flag Codes","Flags"
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","STE","States and Territories","2","Victoria","2017","2017",3306727,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","STE","States and Territories","2","Victoria","2017","2017",11028,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","STE","States and Territories","2","Victoria","2017","2017",743634,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","STE","States and Territories","2","Victoria","2017","2017",3306727,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","STE","States and Territories","2","Victoria","2017","2017",2145629,,
"RESPCLR_N","Response clear - No","1","Number (No.)","STE","States and Territories","2","Victoria","2017","2017",1161098,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","STE","States and Territories","2","Victoria","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","STE","States and Territories","2","Victoria","2017","2017",81.4,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","STE","States and Territories","2","Victoria","2017","2017",0.3,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","STE","States and Territories","2","Victoria","2017","2017",18.3,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","STE","States and Territories","2","Victoria","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","STE","States and Territories","2","Victoria","2017","2017",64.9,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","STE","States and Territories","2","Victoria","2017","2017",35.1,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","STE","States and Territories","3","Queensland","2017","2017",3150873,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","STE","States and Territories","3","Queensland","2017","2017",2448075,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","STE","States and Territories","3","Queensland","2017","2017",7088,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","STE","States and Territories","3","Queensland","2017","2017",695710,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","STE","States and Territories","3","Queensland","2017","2017",2448075,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","STE","States and Territories","3","Queensland","2017","2017",1487060,,
"RESPCLR_N","Response clear - No","1","Number (No.)","STE","States and Territories","3","Queensland","2017","2017",961015,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","STE","States and Territories","3","Queensland","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","STE","States and Territories","3","Queensland","2017","2017",77.7,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","STE","States and Territories","3","Queensland","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","STE","States and Territories","3","Queensland","2017","2017",22.1,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","STE","States and Territories","3","Queensland","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","STE","States and Territories","3","Queensland","2017","2017",60.7,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","STE","States and Territories","3","Queensland","2017","2017",39.3,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","STE","States and Territories","4","South Australia","2017","2017",1193580,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","STE","States and Territories","4","South Australia","2017","2017",948775,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","STE","States and Territories","4","South Australia","2017","2017",2778,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","STE","States and Territories","4","South Australia","2017","2017",242027,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","STE","States and Territories","4","South Australia","2017","2017",948775,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","STE","States and Territories","4","South Australia","2017","2017",592528,,
"RESPCLR_N","Response clear - No","1","Number (No.)","STE","States and Territories","4","South Australia","2017","2017",356247,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","STE","States and Territories","4","South Australia","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","STE","States and Territories","4","South Australia","2017","2017",79.5,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","STE","States and Territories","4","South Australia","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","STE","States and Territories","4","South Australia","2017","2017",20.3,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","STE","States and Territories","4","South Australia","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","STE","States and Territories","4","South Australia","2017","2017",62.5,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","STE","States and Territories","4","South Australia","2017","2017",37.5,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","STE","States and Territories","5","Western Australia","2017","2017",1607020,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","STE","States and Territories","5","Western Australia","2017","2017",1257499,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","STE","States and Territories","5","Western Australia","2017","2017",3188,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","STE","States and Territories","5","Western Australia","2017","2017",346333,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","STE","States and Territories","5","Western Australia","2017","2017",1257499,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","STE","States and Territories","5","Western Australia","2017","2017",801575,,
"RESPCLR_N","Response clear - No","1","Number (No.)","STE","States and Territories","5","Western Australia","2017","2017",455924,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","STE","States and Territories","5","Western Australia","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","STE","States and Territories","5","Western Australia","2017","2017",78.3,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","STE","States and Territories","5","Western Australia","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","STE","States and Territories","5","Western Australia","2017","2017",21.6,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","STE","States and Territories","5","Western Australia","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","STE","States and Territories","5","Western Australia","2017","2017",63.7,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","STE","States and Territories","5","Western Australia","2017","2017",36.3,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","STE","States and Territories","6","Tasmania","2017","2017",379428,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","STE","States and Territories","6","Tasmania","2017","2017",301603,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","STE","States and Territories","6","Tasmania","2017","2017",805,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","STE","States and Territories","6","Tasmania","2017","2017",77020,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","STE","States and Territories","6","Tasmania","2017","2017",301603,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","STE","States and Territories","6","Tasmania","2017","2017",191948,,
"RESPCLR_N","Response clear - No","1","Number (No.)","STE","States and Territories","6","Tasmania","2017","2017",109655,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","STE","States and Territories","6","Tasmania","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","STE","States and Territories","6","Tasmania","2017","2017",79.5,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","STE","States and Territories","6","Tasmania","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","STE","States and Territories","6","Tasmania","2017","2017",20.3,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","STE","States and Territories","6","Tasmania","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","STE","States and Territories","6","Tasmania","2017","2017",63.6,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","STE","States and Territories","6","Tasmania","2017","2017",36.4,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","STE","States and Territories","7","Northern Territory","2017","2017",138101,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","STE","States and Territories","7","Northern Territory","2017","2017",80376,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","STE","States and Territories","7","Northern Territory","2017","2017",229,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","STE","States and Territories","7","Northern Territory","2017","2017",57496,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","STE","States and Territories","7","Northern Territory","2017","2017",80376,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","STE","States and Territories","7","Northern Territory","2017","2017",48686,,
"RESPCLR_N","Response clear - No","1","Number (No.)","STE","States and Territories","7","Northern Territory","2017","2017",31690,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","STE","States and Territories","7","Northern Territory","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","STE","States and Territories","7","Northern Territory","2017","2017",58.2,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","STE","States and Territories","7","Northern Territory","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","STE","States and Territories","7","Northern Territory","2017","2017",41.6,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","STE","States and Territories","7","Northern Territory","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","STE","States and Territories","7","Northern Territory","2017","2017",60.6,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","STE","States and Territories","7","Northern Territory","2017","2017",39.4,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","STE","States and Territories","8","Australian Capital Territory","2017","2017",288108,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","STE","States and Territories","8","Australian Capital Territory","2017","2017",236979,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","STE","States and Territories","8","Australian Capital Territory","2017","2017",534,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","STE","States and Territories","8","Australian Capital Territory","2017","2017",50595,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","STE","States and Territories","8","Australian Capital Territory","2017","2017",236979,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","STE","States and Territories","8","Australian Capital Territory","2017","2017",175459,,
"RESPCLR_N","Response clear - No","1","Number (No.)","STE","States and Territories","8","Australian Capital Territory","2017","2017",61520,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","STE","States and Territories","8","Australian Capital Territory","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","STE","States and Territories","8","Australian Capital Territory","2017","2017",82.3,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","STE","States and Territories","8","Australian Capital Territory","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","STE","States and Territories","8","Australian Capital Territory","2017","2017",17.6,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","STE","States and Territories","8","Australian Capital Territory","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","STE","States and Territories","8","Australian Capital Territory","2017","2017",74,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","STE","States and Territories","8","Australian Capital Territory","2017","2017",26,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","CANB","Canberra","2017","2017",145631,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","CANB","Canberra","2017","2017",120951,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","CANB","Canberra","2017","2017",281,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","CANB","Canberra","2017","2017",24399,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","CANB","Canberra","2017","2017",120951,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","CANB","Canberra","2017","2017",89590,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","CANB","Canberra","2017","2017",31361,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","CANB","Canberra","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","CANB","Canberra","2017","2017",83.1,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","CANB","Canberra","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","CANB","Canberra","2017","2017",16.8,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","CANB","Canberra","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","CANB","Canberra","2017","2017",74.1,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","CANB","Canberra","2017","2017",25.9,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","FENN","Fenner","2017","2017",142477,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","FENN","Fenner","2017","2017",116028,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","FENN","Fenner","2017","2017",253,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","FENN","Fenner","2017","2017",26196,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","FENN","Fenner","2017","2017",116028,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","FENN","Fenner","2017","2017",85869,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","FENN","Fenner","2017","2017",30159,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","FENN","Fenner","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","FENN","Fenner","2017","2017",81.4,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","FENN","Fenner","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","FENN","Fenner","2017","2017",18.4,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","FENN","Fenner","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","FENN","Fenner","2017","2017",74,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","FENN","Fenner","2017","2017",26,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","BANK","Banks","2017","2017",105254,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","BANK","Banks","2017","2017",84079,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","BANK","Banks","2017","2017",247,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","BANK","Banks","2017","2017",20928,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","BANK","Banks","2017","2017",84079,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","BANK","Banks","2017","2017",37736,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","BANK","Banks","2017","2017",46343,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","BANK","Banks","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","BANK","Banks","2017","2017",79.9,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","BANK","Banks","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","BANK","Banks","2017","2017",19.9,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","BANK","Banks","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","BANK","Banks","2017","2017",44.9,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","BANK","Banks","2017","2017",55.1,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","BART","Barton","2017","2017",109371,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","BART","Barton","2017","2017",85137,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","BART","Barton","2017","2017",226,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","BART","Barton","2017","2017",24008,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","BART","Barton","2017","2017",85137,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","BART","Barton","2017","2017",37153,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","BART","Barton","2017","2017",47984,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","BART","Barton","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","BART","Barton","2017","2017",77.8,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","BART","Barton","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","BART","Barton","2017","2017",22,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","BART","Barton","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","BART","Barton","2017","2017",43.6,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","BART","Barton","2017","2017",56.4,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","BENN","Bennelong","2017","2017",106375,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","BENN","Bennelong","2017","2017",86158,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","BENN","Bennelong","2017","2017",244,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","BENN","Bennelong","2017","2017",19973,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","BENN","Bennelong","2017","2017",86158,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","BENN","Bennelong","2017","2017",42943,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","BENN","Bennelong","2017","2017",43215,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","BENN","Bennelong","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","BENN","Bennelong","2017","2017",81,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","BENN","Bennelong","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","BENN","Bennelong","2017","2017",18.8,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","BENN","Bennelong","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","BENN","Bennelong","2017","2017",49.8,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","BENN","Bennelong","2017","2017",50.2,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","BERO","Berowra","2017","2017",105090,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","BERO","Berowra","2017","2017",88840,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","BERO","Berowra","2017","2017",212,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","BERO","Berowra","2017","2017",16038,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","BERO","Berowra","2017","2017",88840,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","BERO","Berowra","2017","2017",48471,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","BERO","Berowra","2017","2017",40369,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","BERO","Berowra","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","BERO","Berowra","2017","2017",84.5,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","BERO","Berowra","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","BERO","Berowra","2017","2017",15.3,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","BERO","Berowra","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","BERO","Berowra","2017","2017",54.6,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","BERO","Berowra","2017","2017",45.4,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","BLAX","Blaxland","2017","2017",104435,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","BLAX","Blaxland","2017","2017",78332,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","BLAX","Blaxland","2017","2017",220,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","BLAX","Blaxland","2017","2017",25883,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","BLAX","Blaxland","2017","2017",78332,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","BLAX","Blaxland","2017","2017",20406,,
"RESPCLR_N","Response clear - No","1","Number (No.)","FED","Federal Electoral Division","BLAX","Blaxland","2017","2017",57926,,
"EP_TOT","Eligible Participant - Total","2","Percentage (%)","FED","Federal Electoral Division","BLAX","Blaxland","2017","2017",100,,
"EP_CLR","Eligible Participant - Response clear","2","Percentage (%)","FED","Federal Electoral Division","BLAX","Blaxland","2017","2017",75,,
"EP_NCLR","Eligible Participant - Response not clear","2","Percentage (%)","FED","Federal Electoral Division","BLAX","Blaxland","2017","2017",0.2,,
"EP_NR","Eligible Participant - Non-responding","2","Percentage (%)","FED","Federal Electoral Division","BLAX","Blaxland","2017","2017",24.8,,
"RESPCLR_TOT","Response clear - Total","2","Percentage (%)","FED","Federal Electoral Division","BLAX","Blaxland","2017","2017",100,,
"RESPCLR_Y","Response clear - Yes","2","Percentage (%)","FED","Federal Electoral Division","BLAX","Blaxland","2017","2017",26.1,,
"RESPCLR_N","Response clear - No","2","Percentage (%)","FED","Federal Electoral Division","BLAX","Blaxland","2017","2017",73.9,,
"EP_TOT","Eligible Participant - Total","1","Number (No.)","FED","Federal Electoral Division","BRFD","Bradfield","2017","2017",106071,,
"EP_CLR","Eligible Participant - Response clear","1","Number (No.)","FED","Federal Electoral Division","BRFD","Bradfield","2017","2017",88608,,
"EP_NCLR","Eligible Participant - Response not clear","1","Number (No.)","FED","Federal Electoral Division","BRFD","Bradfield","2017","2017",202,,
"EP_NR","Eligible Participant - Non-responding","1","Number (No.)","FED","Federal Electoral Division","BRFD","Bradfield","2017","2017",17261,,
"RESPCLR_TOT","Response clear - Total","1","Number (No.)","FED","Federal Electoral Division","BRFD","Bradfield","2017","2017",88608,,
"RESPCLR_Y","Response clear - Yes","1","Number (No.)","FED","Federal Electoral Division","BRFD","Bradfield","2017","2017",53681,,
